mua,mus
0.00564419,3.68427
0.00637137,3.68427
0.00719225,3.68427
0.00811888,3.68427
0.0091649,3.68427
0.0103457,3.68427
0.0116786,3.68427
0.0131833,3.68427
0.0148818,3.68427
0.0167991,3.68427
0.0189635,3.68427
0.0214067,3.68427
0.0241647,3.68427
0.027278,3.68427
0.0307924,3.68427
0.0347596,3.68427
0.039238,3.68427
0.0442933,3.68427
0.05,3.68427
0.005,4.02027
0.00564419,4.02027
0.00637137,4.02027
0.00719225,4.02027
0.00811888,4.02027
0.0091649,4.02027
0.0103457,4.02027
0.0116786,4.02027
0.0131833,4.02027
0.0148818,4.02027
0.0167991,4.02027
0.0189635,4.02027
0.0214067,4.02027
0.0241647,4.02027
0.027278,4.02027
0.0307924,4.02027
0.0347596,4.02027
0.039238,4.02027
0.0442933,4.02027
0.05,4.02027
0.005,4.3869
0.00564419,4.3869
0.00637137,4.3869
0.00719225,4.3869
0.00811888,4.3869
0.0091649,4.3869
0.0103457,4.3869
0.0116786,4.3869
0.0131833,4.3869
0.0148818,4.3869
0.0167991,4.3869
0.0189635,4.3869
0.0214067,4.3869
0.0241647,4.3869
0.027278,4.3869
0.0307924,4.3869
0.0347596,4.3869
0.039238,4.3869
0.0442933,4.3869
0.05,4.3869
0.005,4.78698
0.00564419,4.78698
0.00637137,4.78698
0.00719225,4.78698
0.00811888,4.78698
0.0091649,4.78698
0.0103457,4.78698
0.0116786,4.78698
0.0131833,4.78698
0.0148818,4.78698
0.0167991,4.78698
0.0189635,4.78698
0.0214067,4.78698
0.0241647,4.78698
0.027278,4.78698
0.0307924,4.78698
0.0347596,4.78698
0.039238,4.78698
0.0442933,4.78698
0.05,4.78698
0.005,5.22353
0.00564419,5.22353
0.00637137,5.22353
0.00719225,5.22353
0.00811888,5.22353
0.0091649,5.22353
0.0103457,5.22353
0.0116786,5.22353
0.0131833,5.22353
0.0148818,5.22353
0.0167991,5.22353
0.0189635,5.22353
0.0214067,5.22353
0.0241647,5.22353
0.027278,5.22353
0.0307924,5.22353
0.0347596,5.22353
0.039238,5.22353
0.0442933,5.22353
0.05,5.22353
0.005,5.6999
0.00564419,5.6999
0.00637137,5.6999
0.00719225,5.6999
0.00811888,5.6999
0.0091649,5.6999
0.0103457,5.6999
0.0116786,5.6999
0.0131833,5.6999
0.0148818,5.6999
